EMPLOYER_CANONICAL,total_filings,mba_relevant_filings,certified,new_position_share,median_annual_wage,any_willful_violator,any_h1b_dependent,mba_share
Simon Kucher & Partners Strategy & Marketing Consultants LLC,30,27,1.0,0.7333333333333333,162500.0,False,False,0.9
"ZS Associates, Inc.",565,507,1.0,0.3415929203539823,170000.0,False,False,0.8973451327433628
"BAIN & COMPANY, INC.",200,179,1.0,0.515,195575.5,False,False,0.895
"Collaborative Solutions, LLC",19,17,1.0,0.631578947368421,180000.0,False,False,0.8947368421052632
Jim Beam Brands Co.,19,17,1.0,0.3684210526315789,154124.88,False,False,0.8947368421052632
Renee Systems Inc,19,17,1.0,0.05263157894736842,101900.0,False,False,0.8947368421052632
"Sun Pharmaceutical Industries, Inc.",19,17,0.9473684210526315,0.5263157894736842,116839.0,False,False,0.8947368421052632
"SG Americas Securities, LLC",123,110,1.0,0.7479674796747967,202500.0,False,False,0.8943089430894309
"IMC Americas, Inc.",66,59,1.0,0.696969696969697,200000.0,False,False,0.8939393939393939
"Cumming Management Group, Inc.",149,133,1.0,0.5838926174496645,119857.33499999999,False,False,0.8926174496644296
UNIUNI LOGISTICS INC.,92,82,1.0,0.9565217391304348,62400.0,False,False,0.8913043478260869
"Priority Care Staffing, LLC",55,49,1.0,0.6727272727272727,99486.4,False,False,0.8909090909090909
AustralianSuper US LLC,18,16,1.0,0.3888888888888889,240000.0,False,False,0.8888888888888888
Eisler Capital US LLC,18,16,1.0,0.8888888888888888,120000.0,False,False,0.8888888888888888
"MA LABORATORIES, INC.",18,16,1.0,0.5555555555555556,67196.5,False,False,0.8888888888888888
Standard Chartered Bank,71,63,1.0,0.704225352112676,165000.0,False,False,0.8873239436619719
"AlixPartners, LLP",165,146,1.0,0.3696969696969697,185000.0,False,False,0.8848484848484849
"Miniso Depot CA, Inc.",26,23,1.0,0.6538461538461539,58240.0,False,False,0.8846153846153846
Aurora Energy Research LLC,34,30,1.0,0.9117647058823529,90375.0,False,False,0.8823529411764706
"GuruNanda, LLC.",17,15,1.0,0.9411764705882353,77000.0,False,False,0.8823529411764706
IL FANTUAN LTD.,17,15,1.0,0.8235294117647058,60000.0,False,False,0.8823529411764706
"Wilshire Advisors, LLC",17,15,1.0,0.6470588235294118,76125.0,False,False,0.8823529411764706
"Weaver and Tidwell, L.L.P.",40,35,1.0,0.4,109500.0,False,False,0.875
"Richemont North America, Inc.",24,21,1.0,0.8333333333333334,106250.03,False,False,0.875
"Altman Solon US, LP",16,14,1.0,0.3125,180146.0,False,False,0.875
